id_response;linha_produto;modulo;processo;subprocesso;requisito;resposta;observacao
14819;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Fornecedores classificados como excepional (Regra especial autorizados em política) não devem ser bloqueados.;Atende;O bloqueio no ERP é um campo específico Bloqueado pode-se alterar conforme a necessidade.
14820;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Permitir bloquear temporariamente ou inativar o fornecedor de uma forma geral ou por Empresa Estabelecimento e Unidade de Negócio (UN). Ou especificamente para uma determinada CATEGORIA de produto e/ou PART NUMBER (produto de revenda consumo imobilizado etc);Atende;Irá depender da forma como for estruturado o Cadastro de Fornecedores. Compartilhado Exclusivo.
14821;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Permitir registrar mais de um contato por Fornecedor com as suas responsabilidades telefones e e-mails. Exemplo: possibilitar que o contato 1 seja responsavel apenas por informações de cadastro o contato 2 para resposta de cotação (principal);Atende Parcial;O conceito do ERP é ter os contatos cadastrados do Fornecedor e um grupo de compradores que são os responsáveis pelo processo de cotação.Teria que desenvolver esta adequação para atender desta forma ao requisito e posteriormente se enquadrar no padrão.
14822;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Permitir registrar mais de um endereço para o Fornecedor com a sua finalidade (sede fábrica centro de distribuição / expedição).;Atende;
14823;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Permitir definir mais de uma conta-corrente bancária para cada fornecedor selecionável no momento do cadastramento do pagamento e/ou como padrão.;Atende;
14824;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Permitir definir diferentes condições de pagamento para o fornecedor se por boleto crédito em conta PIX etc. podendo cada cotação e/ou proposta utilizar qualquer uma das condições cadastradas;Atende;
14825;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Fornecedores;Permitir identificar se o Fornecedor é Nacional ou Internacional permitindo o cadastro sem o CNPJ para os casos internacionais.;Atende;
14826;TOTVS Backoffice - Linha Protheus;TMS - Gestão de Transporte Acessibilidade Visual;Cadastros;Cadastro de Fornecedores;Controlar dados específicos de fornecedores de transportes (Carreteiros e Transportadoras subcontratadas): Numero CRNTRC / Categoria CRNTRC (ETC/TAC) / Validade CRNTRC / CIOT Obrigatório;Atende;Quando nosso TMS está ativo os campos ficam disponíveis no cadastro de fornecedores.
14827;TOTVS Backoffice - Linha Protheus;Gestão de Contratos;Cadastros;Cadastro Fornecedor;Controlar a data de validade da última atualização cadastral para para renovação automatizada da consulta nos bureaus cadastrais.;Atende Parcial;Necessário Schedulle de verificação de Bloqueio de validade de cadastro.
14828;TOTVS Backoffice - Linha Protheus;Financeiro;Cadastros;Cadastro Fornecedor;Permitir a classificação gerencial dos fornecedores em relação aos pagamentos e fluxo de caixa.;Atende;
14829;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir a integração do cadastro de cliente para cadastro de fornecedor facilidade no processo de reembolso a clientes.;Atende Parcial;Necessário desenvolver botão para copiar as informações cadastrais do Cliente como Fornecedor (Cadastro)
14830;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir cadastro de limite de crédito por fornecedor (individual ou por raiz de cnpj). Crédito para fornecedor para valores enviados antecipadamente via pagamentos transferência ou outros meios;Atende;
14831;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir o bloqueio de fornecedores por tipo de movimentação - exemplo bloqueio geral requisição OC faturamento pagamento.;Atende;Bloqueio irá ocorrer de acordo com o processo que estiver utilizando: OC Financreiro etc.
14832;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir o cadastamento de contas bancárias contas digitais e chave PIX de fornecedores para uso/vinculação no pagamento eletrônico.;Atende;
14833;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir o cadastro das informações fiscais exigidas para atender à legislação.;Atende;
14834;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir o cadastro de parâmetros que indicam retenções;Atende;
14835;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro Fornecedor;Permitir o cadastro padrão de pagamentos do fornecedor;Atende;
14836;TOTVS Backoffice - Linha Protheus;Configurador;Cadastros;Cadastro Fornecedor;Permitir ou restringir a manutenção de parâmetros/campos no cadastro de fornecedores conforme o perfil do usuário;Atende;
14837;TOTVS Backoffice - Linha Protheus;Configurador;Cadastros;Cadastro Fornecedor;Validação de campos obrigatórios no cadastro de fornecedores;Atende;
14838;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Oferecer flexibilidade para iniciar o cadastro a partir de dados básicos recebidos por integração com outras soluções (CRM SoftExpert AZIX etc) e complementados no ERP e vice-versa;Atende;Disponibilização de API para receber o cadastro com as informações do cliente.
14839;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir identificar Grupo Empresarial do cliente (cnpj holding raiz filial).;Atende;Cadastro de Clientes
14840;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir a gestão de dados cadastrais de clientes com flexibilidades de registros como diferentes endereços de entrega para a mesma unidade fiscal e respectivos contatos vinculados aos dados registrados no módulo de contratos do ERP;Atende;
14841;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir cadastrar dados de Cobrança com diferentes endereços e respectivos dados de contatos unidades de negócios etc independente dos Dados de Entrega;Atende;
14842;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastros de Clientes;Permitir o cadastro do parceiro em um Grupo de Clientes de modo poder ser utilizado para classificação de risco e/ou crédito prioridade de processos de picking e expedição de materiais etc;Atende;
14843;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Agrupar clientes por CNPJ e permitir outros CNPJs a serem agrupados com um cliente chave - consulta por PAI.;Atende;Tela do cadastro de clientes permite a busca por múltiplos filtros incluindo o CNPJ
14844;TOTVS Backoffice - Linha Protheus;Audit Trail;Cadastros;Cadastros de Clientes;Consulta e impressão de relatório com logs e trilhas de auditoria em alterações e consultas cadastrais por cliente/loja/usuário/periodo;Atende;
14845;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Dashboard com estátisticas das ações e status do workflow de atendimento de cadastros.;Atende Parcial;Necessário desenvolver Dash de estatística
14846;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Funcionalidade para inclusao de CEPs manualmente para casos onde a base não esteja devidamente atualizada.;Atende;
14847;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Funcionalidade que permita a manutenção das Condições de pagamento Plano de Pagamento Metodo de pagamento Dia de Pagamento e-mail financeiro e e-mail NFE para ajuste de grupo de cliente com mesmo CNPJ ou mesmo PAI.;Atende;
14848;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Integração com base dos correios para atualização de endereços através do CEP.;Atende;WF de Cadastro de clientes
14849;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Não permitir que outro cliente seja cadastrado com o memso CNPJ/CPF.;Atende;
14850;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permissão para de forma individualizada poder cadastrar para os clientes de forma fixa o dia do pagamento dos clientes. Ex: Dias 10/20/30ou vctos em dias especificos da semana. Casos esses dias caiam em fim de semana ou feriados o vencimento deverá ser repassado ao dia útil seguinte.;Atende;
14851;TOTVS Backoffice - Linha Protheus;Configurador;Cadastros;Cadastros de Clientes;Permissão por perfis de usuário acessos de acordo com principios de segurança LGPD campos editáveis e que permitem sobreposição;Atende;
14852;TOTVS Backoffice - Linha Protheus;Configurador;Cadastros;Cadastros de Clientes;Permitir a configuração de campos cadastrais obrigatorios necessários ocultos preenchidos manualmente com máscaras e testes de consistência (CNPJ telefones e-mails).;Atende;
14853;TOTVS Fluig;Fluig GED;Cadastros;Cadastros de Clientes;Permitir a inclusão de anexos de documentos cadastrais pré-definidos Obrigatórios - contrato social e e-mails de negociação e adicionais - Balanço patrimonial DRE e outros.;Atende;Banco de conhecimento
14854;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir a Inclusao/Exclusão e ediçao de agrupamento de classificações fiscais/legais e finalidade interna (ClienteFilialTransp);Atende;
14855;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir inclusão e confirmação de e-mails e telefones autorizados para aceites de pedidos.;Atende;
14856;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir o cadastro de estrangeiros clientes que não possuem CNPJ/CPF - caso exclusivo para cadastro aqui na matrriz;Atende;
14857;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir para o setor de cadastro que tenham acesso para bloquear o cadastro do cliente para novas vendas orçamento de vendas e novos contratos.;Atende;Campo de bloqueio do cliente
14858;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Permitir que individualmente possamos cadastrar as condições/método e plano de pagamento por cliente. Por default o mesmo deve nascer com a forma a ser fixada.;Atende;
14859;TOTVS Backoffice - Linha Protheus;Financeiro;Cadastros;Cadastros de Clientes;Permitir que individualmente possamos cadastrar os juros e multa de atraso por cliente. Por default o mesmo deve nascer com a forma a ser fixada.;Atende Parcial;Deverá ser customizado a amarração de incluir taxa de juros e multas no cadastro do cliente
14860;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Permitir regras de validade de cadastros - por tempo/tipo de cliente/classificação risco/UF/Regiao/Filial;Atende Parcial;
14861;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Preenchimento automatico de campos (Fundação/Nascimento razao social nome...) via integração com serviços de entidades / bureau de enriquecimento de dados (exemplo: receita federal sintegra e outras fontes).;Atende;Integrado om: Sintegra Receita Federal Serasa Boa Vista.
14862;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Tela com informação de todas as Ovs realizadas com as informações: Nº OV data emissão e hora conta cliente nome vendedor condição de pgto filial status UF tipo entrega tipo operação... Necessário que consigamos exportar essa tela para excel.;Atende;Consulta ou relatório disponível de acordo com modelo padrão do erp.
14863;TOTVS Backoffice - Linha Protheus;Faturamento;Cadastros;Cadastros de Clientes;Tela que possibilite a identificação de clientes através de filtros nos campos de e-mail telefone e enderereço para verificar possiveis fraudes;Atende;Aplicação de Filtros sobre o cadastro de clientes conforme necessidade do usuário.
14864;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Disponibilizar uma ferramenta WEB / Portal para que possibilite o pré-cadastro pelo próprio Cliente com preenchimento de dados basicos tais como: CNPJ razão social endereço emeil de NFE dados de contatos etc.;Atende Parcial;Criação de worflow para habilitar o formulário para o cliente preencher as devidas informações para serem alimentadas no protheusDesenvolvimento para cadastro de dados em portal público e posteriormente seguir no WF da ferramenta
14865;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Disponibilizar uma ferramenta de integração com orgãos ou empresas especializadas para atualizações automáticas de dados cadastrais de Cliente assim como o Status do CNPJ;Atende;Integrado om: Sintegra Receita Federal Serasa Boa Vista.
14866;TOTVS Fluig;Fluig BPM;Cadastros;Cadastros de Clientes;Workflow para controle e validação de documentos cadastrais;Atende;
14867;TOTVS Fluig;Fluig BPM;Cadastros;Workflow de Cadastros de Parceiros (Fornecedores e Clientes);A ferramenta de workflow deverá permitir o cadastramento dos responsáveis e a sequencia lógica de complementação de dados indicando o status (pendente ou concluído) do processo a ser atualizado pelo usuário em cada área como Mkt Produtos Compras Financeiro Contábil e Fiscal etc de modo a possibilitar sua completa utilização pelo ERP tanto na criação do cadastro como na sua atualização ocasional;Atende;
14868;TOTVS Fluig;Fluig BPM;Cadastros;Workflow de Cadastros de Parceiros (Fornecedores e Clientes);A ferramenta de workflow deverá emitir avisos para providências de cada responsável / etapa;Atende;
14869;TOTVS Fluig;Fluig BPM;Cadastros;Workflow de Cadastros de Parceiros (Fornecedores e Clientes);A ferramenta de workflow deverá permitir a configuração de diferentes fluxos e alçadas de aprovação para a criação e/ou atualização de dados conforme cada caso;Atende;
14870;TOTVS Fluig;Fluig GED;Cadastros;Gestão de Documentos (Fornecedor e Cliente);Disponibilizar facilidade para UPLOAD e consulta de arquivos em PDF de documentos de habilitação do parceiro (fornecedor / cliente) vinculados ao seu cadastro como: Contrato Social Balanços e Demonstrativos de Resultados Certidões de Regularidade Fiscal e Trabalhista Certificações Atestados Técnicos Comprovações Bancárias Registros Profissionais etc.;Atende;WF do processo de cadastro anexando os documentos
14871;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar cadastrar um item de acordo com seu tipo (uso e consumo auxiliar revenda estoque imobilizado etc) e demais níveis hierárquicos de modo a possibilitar outros tipos de agrupamento segregações prioridade na expedição etc;Atende;
14872;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar a criação de um novo código como cópia de um outro part number semelhante editando possíveis alterações nos seus dados mestres;Atende;
14873;TOTVS Backoffice - Linha Protheus;Compras;Cadastros;Cadastro de Materiais;Possibilitar que um SKU seja atribuído a um ou mais fornecedores e/ou fabricantes;Atende;Amaração Produtos x Fornecedores
14874;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar a criação do SKU com referência ao código externo de cada fornecedor mantendo sua rastreabilidade de origem através de consultas standards;Atende;Amaração Produtos x Fornecedores
14875;TOTVS Fluig;Fluig BPM;Cadastros;Cadastro de Materiais;Permitir o recebimento de Catálogo de Produtos de Fornecedores Específicos através de ferramenta WEB de modo a facilitar os processos de cadastro de materiais no ERP com dados básicos do item descrição unidade preços etc;Atende Parcial;Criação de funcionalidade via página pública para envio de informações
14876;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Permitir a anexação de imagens dos Itens;Atende;
14877;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Permitir o cadastro dos códigos EAN e DUN (do fornecedor) para cada item de estoque e assegurar a sua identificação e rastreabilidade (de/para) pelo SKU no ERP;Atende;
14878;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar o cadastramento de relacionamento de similaridade entre SKUs diferentes (produto similar) de modo que o item definido no pedido original possa ser substituído por outro similar no processo de separação;Atende;
14879;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Em complemento ao requisito acima o ERP deverá permitir a definição de ordem sequencial de prioridade de cada SKU similar para a substituição do SKU do pedido original;Atende Parcial;Personalização para criar sequencial de substituição dos SKUs
14880;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar o cadastramento do fator de Rendimento de Produção (folhas impressas) em SKUs de Toners e Cartuchos de modo que a quantidade a ser fornecida no pedido original possa ser ajustada conforme relação do fator de rendimento entre o SKU original e o SKU substituto;Atende Parcial;Entendemos que será necessária a criação de campos complementares no cadastro de produtos. Também a necessidade de gatilho no Pedido de compras para ajuste e conversão.
14881;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Especificar no cadastro de cada SKU o possível relacionamento entre peças acessórios e consumíveis ao SKU do equipamento principal;Atende;
14882;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar o cadastro de SKU com obrigatoriedade de Customização (antes do envio na remassa) com a inclusão;Atende;Pelo descritivo trata-se da necessidade de um campo específico Customização na inclusão do produto
14883;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Gestão do Serial Number dos produtos desde os processos de entrada de Nfe até a expedição do item de modo a possibilitar a sua identificação individual e rastreabilidade em qualque etapa de processo;Atende;Movimentação do produto com Lote / Série ativado.
14884;TOTVS Prestadores de Serviços Field Service;Field Service Management;Cadastros;Cadastro de Materiais;Possibilitar o controle de Características com valores ou atributos diferentes para cada Serial Number (como memória processador licenças instaladas status do equipamento etc);Atende;Como é SERIALIZADO e precisa ter os atributos o caminho é via módulo Field Service onde mantemos a lista dos componentes do Equipamento Principal e os itens acessórios assim como seu status. A ativação e uso do número de série é feita com a configuração de Controle de Endereçamento do Estoque onde os produtos e componentes podem ser individualizados.
14885;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Manter cadastro único de cada part number podendo o mesmo ser atribuído a um item de estoque ou a um item de imobilizado de acordo com a sua utilização (produto de revenda ou imobilizado para contrato de locação);Atende;
14886;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Permitir associar ao cadastro de cada item as informações fiscais (IPI ICMS IVA NCM COFINS PIS CNAE INSS e etc) a serem consideradas na apuração de tributos substituição tributária recuperação de impostos etc pelo módulo Fiscal do ERP;Atende;Parametrizações no cadastro de produtos e fiscal.
14887;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar o cadastro de diferentes unidades de medidas para cada item como Unidade de Estocagem Unidade de Compras etc e sua respectiva conversão de modo a possibilitar a apresentação automática da quantidade em estoque de forma agrupada ou individual;Atende;
14888;TOTVS WMS - Linha Protheus;WMS - Gestão de Armazenagem;Cadastros;Cadastro de Materiais;Dados logísticos de manuseio de cada item incluindo o padrão de paletização empilhamento máximo imcompatibilidade com outros tipos de produtos cuidados especiais etc de modo a possibilitar a configuração da estratégia de endereçamento estocagem e manuseio no CD;Atende;
14889;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Dados logísticos de fornecimento de cada item incluindo o prazo de entrega lote mínimo e lote econômico de cada fornecedor para o mesmo part number de modo a possibilitar os processos de planejamento de compras;Atende;
14890;TOTVS OMS;OMS - Gestão de Distribuição;Cadastros;Cadastro de Materiais;Dados logísticos de manuseio em transportes como dimensões do SKU (dimensões do produto sem embalagem) largura altura e comprimento cubagem e peso líquido do produto;Atende;
14891;TOTVS OMS;OMS - Gestão de Distribuição;Cadastros;Cadastro de Materiais;Dados logísticos de manuseio em transportes referentes às dimensões externas da embalagem do SKU (largura altura e comprimento) cubagem da caixa montada e peso bruto do produto embalado;Atende;
14892;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Cadastro de materiais de Embalagens (a serem utilizados no processos de reembalagem de itens de dimensões menores) permitindo a especificação de todas as suas dimensões (largura altura e comprimento) e o respectivo volume cubado;Atende;
14893;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Definir se o item deve passar por processo de inspeção e controle de qualidade no recebimento de Nfe e produtos no CD;Atende;
14894;TOTVS WMS - Linha Protheus;WMS - Gestão de Armazenagem;Cadastros;Cadastro de Materiais;Controlar características de segurança e manuseio do material – tipo de EPI para manuseio / É inflamável / É corrosivo / Tóxico.;Atende;
14895;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Permitir a gestão de status de cada item como por exemplo: Cadastro incompleto Ativo Obsoleto Bloqueado etc mantendo o mesmo bloqueado para qualquer tipo de movimentação (compra baixa venda etc) se o status for diferente de Ativo;Atende;
14896;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Permitir o cadastro de produtos com até 25 caracteres (alfa numéricos) no campo do código do SKU;Atende;
14897;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Permitir o cadastro de vida útil de produto (Shelf Life) e configuração de avisos com definição de quantidades de dias de antecedência;Atende Parcial;
14898;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Possibilitar a criação e/ou edição em massa de Dados Mestres de Produtos (total ou parcial);Atende;Inclusão individual ou copiando outro produto como referência / recurso facilitador para alteração do cadastro de produtos.Caso for importação de dados através do TOTVS Mile é possível criar Layout para importação de arquivo padronizado.
14899;TOTVS Fluig;Fluig BPM;Cadastros;Workflow de Cadastro de Materiais;A ferramenta de workflow deverá permitir o cadastramento dos responsáveis e a sequencia lógica de complementação de dados de materiais indicando o status (pendente ou concluído) do processo a ser atualizado pelo usuário em cada área como Mkt Produtos Compras Comercial Financeiro Contábil e Fiscal etc de modo a possibilitar sua completa utilização pelo ERP tanto na criação do cadastro como na sua atualização ocasional;Atende;
14900;TOTVS Fluig;Fluig BPM;Cadastros;Workflow de Cadastro de Materiais;Configurar workflow de aprovação para qualquer alteração no cadastro de materiais;Atende;
14901;TOTVS Backoffice - Linha Protheus;Estoque/Custos;Cadastros;Cadastro de Materiais;Manter dados cadastrais complementares do equipamento entre os módulos de materiais e ativo fixo assim como poder relacionar sistemicamente um determinado serial number com o Nº de Ativo do item;Atende;
14902;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Criação da RC por tipo de material revenda uso e consumo imobilizado por sku e qtd local de entrega centro de custos conta contábil etc;Atende;
14903;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;No caso de RC de Imobilizado permitir também o rateio por centros de custos contas projetos etc;Atende;
14904;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;No caso de RC de Serviços descrever o objeto responsável Simpress prazos indicar possíveis fornecedores;Atende;
14905;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Permitir registro nas requisições sobre a data de necessidade do requisitante.;Atende;
14906;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Apresentar na RC o preço de cada item referente a última aquisição;Atende;
14907;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Permitir que exista alerta ou bloqueio quando a requisição não atende o lead time do item / fornecedor;Atende Parcial;Ponto de entrada para bloquear o lead time inferior ao cadastro do fornecedor
14908;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Permitir anexar documentos e especificações na Requisição (PDF Desenhos) no minimo 30 MB;Atende;Banco de conhecimento / Fluig GED
14909;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Permitir definir se a execução de um serviço será realizada internamente ou externamente e se vai exigir cumprimento de normas de segurança.;Atende;
14910;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Disponibilizar layout de planilha para a criação de Requisições de Compras em massa através de processo de carga Standard;Atende Parcial;Necessário desenvolver Carga em massa
14911;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Requisição de Compras;Permitir a configuração de workflow de aprovação por diferentes fluxos e alçadas (responsáveis / valores / Centro de Custos) para cada tipo de RC (serviço imobilizado revenda consumo etc);Atende;
14912;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Possibilitar a substituição temporária ou definitiva de responsável por aprovação;Atende;
14913;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Propiciar a distribuição automática para o POOL de Compradores de acordo com o tipo de RC;Atende;
14914;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Possibilitar a transferência da Cotação entre compradores.;Atende;
14915;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Bloquear automaticamente a inclusão de Fornecedor no processo de cotação que estiver bloqueado no ERP;Atende;Campo de bloqueio fornecedor
14916;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Permitir consulta aos órgão governamentais (RFB/SINTEGRA) sobre a situação fiscal do fornecedor (se está ativo) antes da realização da operação de cotação;Atende;
14917;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Disponibilizar ferramenta Web para envio da cotação e/ou visualização pelos Fornecedores selecionados para cada RC;Atende;O ERP possui recurso para o ENVIO da cotação para o fornecedor. O mesmo irá receber um e-mail com um link que o levará a uma página WEB para responder a cotação.
14918;TOTVS Backoffice - Linha Protheus;Compras;Compras e Suprimentos;Cotação de Compras;Caso não tenha sido sugerido na RC o ERP deve apresentar a lista de sugestão de fornecedores para participação na cotação assim como permitir a inclusão manual de fornecedor por parte do Comprador;Atende;
